0.001885, 0.001899, 0.036519, 0.03666, 0.10034, 0.12692, 0.19843, 0.18431, 0.002746, 0.004293, 0.007446, 0.2877, 0.32142
0.005164, 0.003933, 0.05982, 0.064216, 0.16541, 0.13125, 0.15975, 0.1403, 0.003983, 0.005303, 0.010544, 0.30586, 0.37939
0.009546, 0.007338, 0.046396, 0.046294, 0.13717, 0.1225, 0.14251, 0.12847, 0.020095, 0.008572, 0.045547, 0.3119, 0.32465
0.009546, 0.007338, 0.046396, 0.046294, 0.13717, 0.1225, 0.14251, 0.12847, 0.020095, 0.008572, 0.045547, 0.3119, 0.32465
0.032347, 0.03035, 0.057651, 0.057629, 0.14566, 0.1432, 0.17856, 0.17249, 0.062693, 0.068325, 0.141, 0.39171, 0.40263
0.072447, 0.066555, 0.065433, 0.065277, 0.16558, 0.17479, 0.16487, 0.20362, 0.12599, 0.11522, 0.27981, 0.34057, 0.50167
0.13301, 0.1447, 0.087247, 0.087203, 0.16367, 0.19217, 0.13575, 0.18643, 0.28578, 0.25115, 0.55336, 0.44775, 0.34398
0.28354, 0.33327, 0.12242, 0.11939, 0.19577, 0.18088, 0.1958, 0.15035, 0.70451, 0.6561, 1.6623, 0.51467, 0.52659
1.4489, 0.57192, 0.20105, 0.18198, 0.21742, 0.25338, 0.64729, 0.28838, 0.79568, 0.85801, 3.0992, 0.55925, 0.56684
3.1769, 1.1265, 0.35451, 0.3327, 0.31406, 0.34869, 0.29619, 0.31233, 1.602, 1.6526, 6.3687, 0.68551, 0.66141
6.3527, 2.0997, 0.9041, 0.8269, 0.34781, 0.3672, 0.28274, 0.28195, 3.196, 3.239, 12.361, 0.89818, 0.90519
13.311, 4.7256, 1.5804, 1.5617, 0.97037, 0.92851, 0.30972, 0.31379, 6.2666, 6.2747, 24.973, 1.8556, 1.7805
